constituency,year,funds_available,pct_completed,sanctioned_funds,works_sanctioned,actual_expenditure,works_completed,pct_utilisation,pending_works,expenditure_to_sanctioned_pct,pending_share_pct,completion_gap_pct,avg_sanction_per_work_lakh,pending_works_yoy_change,actual_expenditure_yoy_change,pct_utilisation_yoy_change
Hoshiarpur,2015,10474.7,97.56,9459.09,10224.0,9620.46,9975.0,91.84,249.0,101.70597805920018,2.4354460093896715,-5.719999999999999,0.9251848591549295,-83.7467362924282,-14.77834126896247,0.4704080516354958
Hoshiarpur,2016,11264.79,98.43,9921.35,10297.0,10862.63,10135.0,96.43,162.0,109.48741854687114,1.5732737690589491,-2.0,0.9635185005341362,-34.93975903614458,12.911752660475706,4.9978222996515775
Hoshiarpur,2017,114.4,96.35,112.77,10990.0,111.47,10589.0,97.44,401.0,98.84721113771394,3.64877161055505,1.0900000000000034,0.010261146496815286,147.53086419753086,-98.97382125691476,1.047391890490501
Hoshiarpur,2018,119.66,96.83,117.83,11246.0,115.17,10890.0,96.25,356.0,97.7425103963337,3.165569980437489,-0.5799999999999983,0.010477503112217677,-11.221945137157107,3.319278729703057,-1.2212643678160884
Hoshiarpur,2019,122.31,95.44,121.61,11554.0,118.86,11027.0,97.18,527.0,97.73867280651262,4.561190929548208,1.740000000000009,0.010525359182966938,48.03370786516854,3.203959364417819,0.9662337662337706
Hoshiarpur,2020,124.97,98.28,123.65,11603.0,120.74,11403.0,96.62,200.0,97.64658309745248,1.7236921485822632,-1.6599999999999966,0.010656726708609843,-62.04933586337761,1.5816927477704912,-0.5762502572545847
Hoshiarpur,2021,126.24,98.48,126.65,11718.0,122.49,11540.0,97.03,178.0,96.71535728385314,1.5190305512886157,-1.4500000000000028,0.01080815838880355,-10.999999999999998,1.4493953950637684,0.4243427861726268
Hoshiarpur,2022,127.74,98.31,128.35,11826.0,123.86,11626.0,96.97,200.0,96.50175301908844,1.6911889058007779,-1.3400000000000034,0.010853204802976493,12.35955056179776,1.118458649685694,-0.0618365453983305
Jalandhar,2010,7488.11,92.75,7148.4,9427.0,6738.3,8744.0,89.99,683.0,94.26305187174754,7.245146918425799,-2.760000000000005,0.7582900180333085,,,
Jalandhar,2011,8239.35,94.13,7693.77,9641.0,7207.98,9075.0,87.48,566.0,93.68593030464908,5.870760294575252,-6.6499999999999915,0.7980261383673893,-17.130307467057104,6.970304082632106,-2.7891987998666434
Jalandhar,2012,9000.52,95.41,8283.15,9850.0,7803.33,9398.0,86.7,452.0,94.20727621738108,4.588832487309645,-8.709999999999994,0.8409289340101522,-20.141342756183743,8.259595614860205,-0.8916323731138598
Jalandhar,2013,10530.26,91.46,10513.03,10624.0,9908.4,9717.0,94.09,907.0,94.24875606747055,8.537274096385541,2.6300000000000097,0.9895547816265061,100.66371681415932,26.976560007073893,8.523644752018456
Jalandhar,2014,11228.56,92.42,10731.01,10719.0,10113.19,9906.0,90.07,813.0,94.24266681328226,7.584662748390708,-2.3500000000000085,1.001120440339584,-10.363836824696804,2.066832182794398,-4.272505048357966
Jalandhar,2015,11520.13,93.3,10921.31,10744.0,11046.06,10239.0,95.88,505.0,101.14226223777185,4.700297840655249,2.5799999999999983,1.016503164556962,-37.88437884378843,9.224290258563306,6.450538470078837
Jalandhar,2016,13082.98,98.12,11408.53,10821.0,11987.32,10618.0,91.56,203.0,105.07330918181395,1.875981887071435,-6.560000000000002,1.0542953516310878,-59.8019801980198,8.521228383695178,-4.505632040050056
Jalandhar,2017,135.06,95.85,132.09,11419.0,128.62,10945.0,95.23,474.0,97.3730032553562,4.150976442770821,-0.6199999999999903,0.01156756283387337,133.4975369458128,-98.92703289809566,4.008300567933598
Jalandhar,2018,145.56,94.99,142.24,11664.0,139.28,11080.0,95.69,584.0,97.91901012373452,5.0068587105624145,0.7000000000000028,0.012194787379972566,23.206751054852326,8.28798009640801,0.4830410584899747
Jalandhar,2019,154.12,95.6,149.57,11933.0,144.06,11408.0,93.47,525.0,96.3161061710236,4.399564233637811,-2.1299999999999955,0.012534148998575379,-10.102739726027398,3.43193566915565,-2.3199916396697606
Jalandhar,2020,156.51,97.83,152.12,11943.0,146.93,11684.0,93.88,259.0,96.5882198264528,2.168634346479109,-3.950000000000003,0.012737168215691201,-50.66666666666666,1.9922254616132173,0.43864341499946224
Jalandhar,2021,165.46,96.59,159.97,12280.0,156.27,11861.0,94.45,419.0,97.68706632493594,3.4120521172638436,-2.1400000000000006,0.013026872964169382,61.77606177606179,6.356768529231616,0.607158074137204
Jalandhar,2022,174.38,96.43,164.16,12369.0,157.47,11927.0,90.3,442.0,95.92470760233918,3.5734497534157974,-6.13000000000001,0.013271889400921659,5.4892601431980825,0.7679017085812978,-4.393859184753845
Ludhiana,2010,4971.59,92.49,4894.05,3542.0,4719.6,3276.0,94.93,266.0,96.43546755754437,7.509881422924901,2.440000000000012,1.3817193675889328,,,
Ludhiana,2011,5336.02,91.15,5236.23,3706.0,4874.32,3378.0,91.35,328.0,93.08834791443464,8.850512682137076,0.19999999999998863,1.412906098219104,23.308270676691723,3.278243918976176,-3.7711998314547746
Ludhiana,2012,5837.35,93.86,5310.77,3732.0,5175.77,3503.0,88.74,229.0,97.45799573319877,6.136120042872454,-5.1200000000000045,1.4230359056806003,-30.182926829268297,6.1844523954110775,-2.857142857142858
Ludhiana,2013,6583.99,91.47,6550.47,4032.0,6028.83,3688.0,91.57,344.0,92.03660195375294,8.531746031746032,0.09999999999999432,1.6246205357142858,50.21834061135371,16.481798843457106,3.1890917286454767
Ludhiana,2014,6833.99,94.69,6550.47,4032.0,6486.43,3818.0,94.91,214.0,99.02236022758672,5.307539682539683,0.21999999999999886,1.6246205357142858,-37.7906976744186,7.59019577596316,3.6474828000436776
Ludhiana,2015,7379.29,98.9,6509.11,4018.0,6715.46,3974.0,91.0,44.0,103.17017226625453,1.095072175211548,-7.900000000000006,1.6199875559980088,-79.43925233644859,3.5309099150071743,-4.11969234011168
Ludhiana,2016,8119.05,99.35,6477.11,4018.0,7622.77,3992.0,93.89,26.0,117.68782682400021,0.6470881035340965,-5.459999999999994,1.612023394723743,-40.90909090909091,13.510764713065093,3.1758241758241823
Ludhiana,2017,83.76,96.12,81.08,4408.0,78.89,4237.0,94.19,171.0,97.29896398618648,3.8793103448275863,-1.9300000000000068,0.01839382940108893,557.6923076923076,-98.96507437585025,0.3195228458834798
Ludhiana,2018,88.84,94.99,86.7,4551.0,84.52,4323.0,95.13,228.0,97.48558246828142,5.009887936717205,0.14000000000000057,0.01905075807514832,33.33333333333333,7.136519203954861,0.9979828007219416
Ludhiana,2019,91.4,97.47,90.65,4660.0,88.98,4542.0,97.36,118.0,98.157749586321,2.532188841201717,-0.10999999999999943,0.019452789699570816,-48.24561403508771,5.2768575485092395,2.3441606223063127
Ludhiana,2020,94.38,97.99,92.79,4687.0,91.13,4593.0,96.56,94.0,98.21101411790063,2.0055472583742264,-1.4299999999999926,0.019797311713249416,-20.33898305084746,2.416273319847151,-0.8216926869350827
Ludhiana,2021,98.96,97.74,94.83,4733.0,93.34,4626.0,94.32,107.0,98.42876726774227,2.2607225860976126,-3.4200000000000017,0.020035918022395943,13.829787234042556,2.4251069900142808,-2.319801159900592
Ludhiana,2022,100.53,97.71,96.89,4761.0,94.71,4652.0,94.21,109.0,97.75002580245639,2.2894349926486033,-3.5,0.020350766645662675,1.869158878504673,1.4677523034068995,-0.11662425784563224
Ludhiana-Fatehgarh Sahib,2010,4232.66,90.28,4079.18,7411.0,3927.53,6691.0,92.79,720.0,96.2823410587422,9.71528808527864,2.510000000000005,0.5504223451625961,,,
Ludhiana-Fatehgarh Sahib,2011,4603.18,89.34,5273.77,7881.0,4219.4,7041.0,91.66,840.0,80.00728131867713,10.658545869813475,2.319999999999993,0.6691752315695978,16.666666666666675,7.431388175265363,-1.217803642633919
Ludhiana-Fatehgarh Sahib,2012,5116.37,92.02,4858.79,8207.0,4572.7,7552.0,89.37,655.0,94.1119085204341,7.980991836237358,-2.6499999999999915,0.5920299744120873,-22.023809523809522,8.37322842110253,-2.4983635173467023
Ludhiana-Fatehgarh Sahib,2013,5574.08,90.57,5570.55,8822.0,5193.54,7990.0,93.17,832.0,93.23208659827127,9.430968034459307,2.6000000000000085,0.6314384493312174,27.02290076335878,13.577098869376968,4.251986125097895
Ludhiana-Fatehgarh Sahib,2014,6079.39,91.84,5761.56,9019.0,5486.07,8292.0,90.24,727.0,95.21848249432445,8.060760616476328,-1.6000000000000085,0.638824703403925,-12.620192307692314,5.632574313474037,-3.144789095202327
